epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6408,2.22846,3.46198,1.98441,0.57094,0.33333,0.29171,0.16461,1.92702,2.71457,1.77442,8e-05,8e-05,8e-05
2,52.0896,1.77492,2.69792,1.66029,0.5979,0.4359,0.53107,0.34625,1.36509,1.77738,1.41301,0.000178218,0.000178218,0.000178218
3,74.5302,1.53223,1.87679,1.44584,0.58029,0.48718,0.5241,0.31513,1.24166,2.02822,1.27582,0.000274456,0.000274456,0.000274456
4,96.28,1.4568,1.56257,1.33726,0.62054,0.37761,0.47279,0.31963,1.2149,2.66112,1.27277,0.000368714,0.000368714,0.000368714
5,118.008,1.34748,1.42143,1.28655,0.35417,0.61538,0.48326,0.34756,1.17232,2.86039,1.27336,0.000460992,0.000460992,0.000460992
6,143.136,1.23519,1.28809,1.2242,0.4661,0.53846,0.50471,0.36593,1.18263,2.66398,1.31825,0.00055129,0.00055129,0.00055129
7,166.99,1.22318,1.3281,1.24766,0.599,0.66667,0.61787,0.44207,1.19757,1.92782,1.35029,0.000639608,0.000639608,0.000639608
8,193.912,1.21004,1.28564,1.2661,0.70632,0.69231,0.69617,0.49204,1.09166,1.54335,1.19921,0.000725946,0.000725946,0.000725946
9,216.969,1.1487,1.21562,1.1931,0.95996,0.61479,0.72656,0.55498,1.08562,1.18039,1.26774,0.000810304,0.000810304,0.000810304
10,241.039,1.10247,1.08353,1.14285,1,0.58565,0.70062,0.53853,1.04068,1.16421,1.23808,0.000892682,0.000892682,0.000892682
11,265.917,1.07265,1.11934,1.20001,0.7803,0.64103,0.7263,0.53394,1.01992,1.20859,1.18939,0.00097308,0.00097308,0.00097308
12,288.049,0.99723,1.02518,1.09976,0.86656,0.58974,0.74749,0.52821,1.04614,1.19993,1.19847,0.0010515,0.0010515,0.0010515
13,310.505,1.0115,0.98929,1.09249,0.6717,0.71795,0.73054,0.52206,1.05185,1.24417,1.2318,0.00112794,0.00112794,0.00112794
14,334.327,1.01957,1.01944,1.126,0.6589,0.71795,0.70422,0.49598,1.13147,1.3446,1.28352,0.00120239,0.00120239,0.00120239
15,356.327,1.07913,1.04391,1.16482,0.81989,0.58974,0.66376,0.49863,1.16755,1.38843,1.29042,0.00127487,0.00127487,0.00127487
16,379.103,0.95392,0.94261,1.10702,0.84439,0.58974,0.69178,0.52447,1.1536,1.32253,1.29188,0.00134537,0.00134537,0.00134537
17,403.535,0.91507,0.89415,1.08671,0.73466,0.63901,0.67171,0.48496,1.15509,1.33727,1.28927,0.00141389,0.00141389,0.00141389
18,425.872,1.00545,0.94339,1.14929,0.70241,0.5641,0.61001,0.44639,1.25783,1.55904,1.35344,0.00148043,0.00148043,0.00148043
19,449.267,0.99898,0.95167,1.14408,0.79295,0.69231,0.73339,0.50154,1.14037,1.24386,1.27436,0.00154498,0.00154498,0.00154498
20,473.012,0.95501,0.91839,1.15091,0.88682,0.64103,0.75902,0.56358,0.92269,1.06561,1.11005,0.00160756,0.00160756,0.00160756
21,497.179,0.99509,0.96258,1.14521,0.83511,0.69231,0.74525,0.56422,0.97611,1.07918,1.15442,0.001604,0.001604,0.001604
22,520.114,0.92096,0.90662,1.0771,0.86937,0.66667,0.74307,0.56631,1.00515,1.12494,1.19348,0.0015842,0.0015842,0.0015842
23,542.967,0.9354,0.8912,1.07759,0.80123,0.64103,0.74907,0.56119,1.01859,1.15074,1.18513,0.0015644,0.0015644,0.0015644
24,566.429,0.99714,1.01489,1.1728,0.85875,0.61538,0.70436,0.55529,0.98921,1.17576,1.15986,0.0015446,0.0015446,0.0015446
25,589.909,0.88977,0.87044,1.10205,0.85697,0.61453,0.69461,0.54794,0.97895,1.22328,1.17574,0.0015248,0.0015248,0.0015248
26,613.29,0.88301,0.86103,1.07809,0.79147,0.61538,0.67149,0.5326,0.98709,1.22292,1.15708,0.001505,0.001505,0.001505
27,635.767,0.89871,0.88012,1.10675,0.88382,0.5641,0.66762,0.54428,0.98785,1.23449,1.15447,0.0014852,0.0014852,0.0014852
28,660.092,0.89288,0.85413,1.103,0.76726,0.64103,0.69579,0.53124,1.05884,1.19061,1.2149,0.0014654,0.0014654,0.0014654
29,683.351,0.87854,0.85087,1.05163,0.86424,0.65315,0.76539,0.58248,1.02353,1.07109,1.19668,0.0014456,0.0014456,0.0014456
30,706.288,0.87421,0.80936,1.08278,0.79329,0.66667,0.78225,0.57645,1.03977,1.03822,1.20508,0.0014258,0.0014258,0.0014258
31,730.228,0.84205,0.79589,1.05142,0.77773,0.71775,0.72076,0.53315,1.0477,1.02604,1.21118,0.001406,0.001406,0.001406
32,754.206,0.8525,0.77938,1.04531,0.8393,0.64103,0.70828,0.51384,1.14558,1.16209,1.30745,0.0013862,0.0013862,0.0013862
33,777.28,0.8133,0.7401,1.05186,0.85475,0.61538,0.71897,0.53565,1.11169,1.12743,1.30337,0.0013664,0.0013664,0.0013664
34,801.005,0.80752,0.80185,1.04855,0.9193,0.66667,0.74571,0.57363,0.99799,1.00138,1.25021,0.0013466,0.0013466,0.0013466
35,823.86,0.86986,0.7813,1.05847,0.86986,0.71795,0.75754,0.5887,1.02509,0.97833,1.2929,0.0013268,0.0013268,0.0013268
36,847.264,0.81258,0.76843,1.04514,0.94782,0.66667,0.74871,0.56279,1.14293,0.99101,1.34216,0.001307,0.001307,0.001307
37,870.981,0.80933,0.68852,1.01184,0.93273,0.66667,0.74835,0.55497,1.10518,0.94008,1.33194,0.0012872,0.0012872,0.0012872
38,894.634,0.79937,0.74654,1.01989,0.9403,0.64103,0.7462,0.57279,1.06312,0.90426,1.32392,0.0012674,0.0012674,0.0012674
39,918.398,0.80608,0.7479,1.04054,0.83433,0.71795,0.7349,0.54994,1.10065,0.93726,1.31099,0.0012476,0.0012476,0.0012476
40,942.283,0.86985,0.79628,1.08746,0.80542,0.69231,0.69333,0.51356,1.18698,1.15382,1.3101,0.0012278,0.0012278,0.0012278
41,964.367,0.85338,0.76863,1.0612,0.698,0.66667,0.67005,0.52706,1.04315,1.16497,1.23705,0.001208,0.001208,0.001208
42,988.95,0.7934,0.70923,1.02949,0.74202,0.69231,0.68805,0.55958,1.00066,1.15495,1.2337,0.0011882,0.0011882,0.0011882
43,1010.85,0.76691,0.70465,1.05098,0.87887,0.64103,0.68708,0.556,1.0457,1.2632,1.25112,0.0011684,0.0011684,0.0011684
44,1032.83,0.77485,0.68065,1.04338,0.85887,0.61538,0.71507,0.54755,1.08408,1.14261,1.2625,0.0011486,0.0011486,0.0011486
45,1055.81,0.74214,0.64257,1.00114,0.78136,0.66667,0.7295,0.55671,1.04617,1.0323,1.21519,0.0011288,0.0011288,0.0011288
46,1079.66,0.83579,0.73496,1.07397,0.8625,0.69231,0.73105,0.56531,1.05304,1.05404,1.2028,0.001109,0.001109,0.001109
47,1102.49,0.7815,0.66443,0.99912,0.8473,0.69231,0.72514,0.57767,1.04322,1.0386,1.19667,0.0010892,0.0010892,0.0010892
48,1127.96,0.71138,0.6762,1.0033,0.86005,0.69231,0.74666,0.59659,0.97238,0.96557,1.17225,0.0010694,0.0010694,0.0010694
49,1157.57,0.67681,0.60919,0.97993,0.85085,0.74359,0.76373,0.61514,0.97122,0.88615,1.18934,0.0010496,0.0010496,0.0010496
50,1182.43,0.74679,0.62268,1.01245,0.82811,0.76923,0.75735,0.61595,1.01077,0.87152,1.20947,0.0010298,0.0010298,0.0010298
51,1212.41,0.75504,0.65487,1.01068,0.89203,0.74359,0.78026,0.61866,1.0054,0.83895,1.1941,0.00101,0.00101,0.00101
52,1235.81,0.70702,0.61123,0.97307,0.80526,0.76923,0.77274,0.62128,1.01504,0.80761,1.20463,0.0009902,0.0009902,0.0009902
53,1259.98,0.7157,0.66408,0.99511,0.80677,0.76923,0.78975,0.62703,0.99587,0.81738,1.20125,0.0009704,0.0009704,0.0009704
54,1282.66,0.66816,0.56686,0.98851,0.80222,0.76923,0.79136,0.61716,0.97665,0.82349,1.18423,0.0009506,0.0009506,0.0009506
55,1305.03,0.69674,0.60397,0.98882,0.93101,0.6921,0.79295,0.61798,0.96141,0.80942,1.15265,0.0009308,0.0009308,0.0009308
56,1328.97,0.66716,0.61359,0.97022,0.78612,0.71795,0.77019,0.57954,0.94057,0.82841,1.13618,0.000911,0.000911,0.000911
57,1351.71,0.75133,0.66235,1.01829,0.78332,0.74359,0.77614,0.58737,0.94371,0.89247,1.15232,0.0008912,0.0008912,0.0008912
58,1374.39,0.66436,0.56826,0.95971,0.79674,0.71795,0.75838,0.58679,0.95474,0.96644,1.15902,0.0008714,0.0008714,0.0008714
59,1398.45,0.70299,0.59121,0.99221,0.87273,0.71795,0.76162,0.57774,0.94963,0.99033,1.14814,0.0008516,0.0008516,0.0008516
60,1422.78,0.6569,0.56684,0.96029,0.88218,0.69231,0.78091,0.59568,0.92491,0.93779,1.12025,0.0008318,0.0008318,0.0008318
61,1445.44,0.68239,0.58435,1.01943,0.95851,0.69231,0.79211,0.59302,0.91547,0.8979,1.11573,0.000812,0.000812,0.000812
62,1469.54,0.70189,0.61793,0.99143,0.85423,0.74359,0.79615,0.60489,0.93167,0.90135,1.13574,0.0007922,0.0007922,0.0007922
63,1494.76,0.66358,0.58128,0.98706,0.85574,0.76069,0.7775,0.6152,0.9599,0.89139,1.17382,0.0007724,0.0007724,0.0007724
64,1518.94,0.67846,0.59325,0.99374,0.92506,0.74359,0.79091,0.63357,0.95001,0.88103,1.18178,0.0007526,0.0007526,0.0007526
65,1542.14,0.63063,0.57804,0.96295,0.91629,0.74359,0.79982,0.64199,0.9461,0.91229,1.18486,0.0007328,0.0007328,0.0007328
66,1566.57,0.6845,0.61769,0.99694,0.93336,0.76923,0.80378,0.64635,0.9484,0.89806,1.17572,0.000713,0.000713,0.000713
67,1591.65,0.65943,0.55311,0.98775,0.93143,0.76923,0.8039,0.64987,0.90496,0.86266,1.14669,0.0006932,0.0006932,0.0006932
68,1615.37,0.63012,0.54143,0.95185,0.89293,0.76923,0.7942,0.63601,0.88557,0.81443,1.13893,0.0006734,0.0006734,0.0006734
69,1639.64,0.63645,0.53421,0.9783,0.85081,0.76923,0.78777,0.63407,0.90906,0.82827,1.15672,0.0006536,0.0006536,0.0006536
70,1663.68,0.62711,0.56369,0.96179,0.80797,0.75536,0.78079,0.63066,0.94685,0.83327,1.19097,0.0006338,0.0006338,0.0006338
71,1687.92,0.59188,0.51457,0.95815,0.83247,0.7646,0.76783,0.62817,0.94658,0.81249,1.18365,0.000614,0.000614,0.000614
72,1711.97,0.62232,0.56177,0.98056,0.8904,0.71795,0.77041,0.62245,0.94384,0.79448,1.1917,0.0005942,0.0005942,0.0005942
73,1736.67,0.65308,0.55623,0.976,0.92933,0.74359,0.80405,0.61398,0.92203,0.78281,1.17483,0.0005744,0.0005744,0.0005744
74,1761.31,0.62014,0.55095,0.97039,0.87618,0.76923,0.80143,0.63121,0.90111,0.79382,1.17024,0.0005546,0.0005546,0.0005546
75,1785.56,0.58257,0.50887,0.95299,0.90907,0.76908,0.79762,0.62971,0.94053,0.84187,1.19113,0.0005348,0.0005348,0.0005348
76,1809.33,0.58202,0.50176,0.9502,0.92334,0.74359,0.79494,0.62419,0.91247,0.83891,1.16293,0.000515,0.000515,0.000515
77,1833.99,0.60865,0.50417,0.95184,0.90213,0.70921,0.77048,0.62091,0.89858,0.834,1.15882,0.0004952,0.0004952,0.0004952
78,1858.05,0.57135,0.50135,0.94775,0.88872,0.69231,0.76811,0.61993,0.91142,0.84326,1.16763,0.0004754,0.0004754,0.0004754
79,1884.07,0.60734,0.52265,0.94073,0.83916,0.69231,0.77814,0.62235,0.91791,0.83183,1.17422,0.0004556,0.0004556,0.0004556
80,1908.17,0.58694,0.56252,0.96625,0.80359,0.73453,0.7775,0.6373,0.88893,0.79347,1.15481,0.0004358,0.0004358,0.0004358
81,1933.27,0.56906,0.50495,0.92838,0.80468,0.76923,0.78211,0.64163,0.89674,0.79317,1.15865,0.000416,0.000416,0.000416
82,1959.3,0.57328,0.51623,0.94252,0.8104,0.76923,0.78527,0.63625,0.89658,0.80141,1.15836,0.0003962,0.0003962,0.0003962
83,1983.4,0.58205,0.50372,0.95424,0.85484,0.75516,0.79906,0.63786,0.90299,0.78931,1.16114,0.0003764,0.0003764,0.0003764
84,2008.95,0.60283,0.53636,0.97514,0.88056,0.71795,0.7984,0.64766,0.88862,0.77381,1.14313,0.0003566,0.0003566,0.0003566
85,2033.12,0.5683,0.48751,0.94976,0.90278,0.71443,0.7995,0.64845,0.89625,0.78956,1.15581,0.0003368,0.0003368,0.0003368
86,2058.77,0.56622,0.49853,0.93391,0.85286,0.7431,0.79881,0.6452,0.91322,0.80084,1.17307,0.000317,0.000317,0.000317
87,2082.28,0.60551,0.52115,0.97324,0.87969,0.69231,0.79797,0.64706,0.91116,0.79803,1.17508,0.0002972,0.0002972,0.0002972
88,2106.49,0.5686,0.50684,0.95459,0.90109,0.70097,0.79441,0.64051,0.90265,0.79184,1.15969,0.0002774,0.0002774,0.0002774
89,2131.15,0.59314,0.52834,0.95611,0.93203,0.70339,0.79242,0.63989,0.92526,0.81152,1.18301,0.0002576,0.0002576,0.0002576
90,2155.61,0.54805,0.47904,0.92131,0.93318,0.71619,0.78771,0.64277,0.91455,0.81859,1.18194,0.0002378,0.0002378,0.0002378
91,2179.78,0.51816,0.57819,0.90509,0.84704,0.71795,0.78449,0.64751,0.91407,0.8491,1.19273,0.000218,0.000218,0.000218
92,2210.68,0.50199,0.55293,0.89586,0.83886,0.71795,0.77503,0.62069,0.91574,0.87921,1.18932,0.0001982,0.0001982,0.0001982
93,2237.16,0.51892,0.52268,0.91782,0.84835,0.71722,0.77499,0.62961,0.8958,0.85293,1.17226,0.0001784,0.0001784,0.0001784
94,2260.92,0.53222,0.5112,0.92657,0.93065,0.68826,0.78239,0.63571,0.89919,0.84928,1.17562,0.0001586,0.0001586,0.0001586
95,2283.73,0.50568,0.47419,0.88358,0.90212,0.71795,0.7823,0.63208,0.90868,0.85918,1.18211,0.0001388,0.0001388,0.0001388
96,2309.76,0.52345,0.4551,0.92259,0.9186,0.69231,0.76471,0.62231,0.90232,0.85194,1.17618,0.000119,0.000119,0.000119
97,2331.21,0.47346,0.44582,0.89223,0.92029,0.69231,0.76824,0.62212,0.89945,0.84342,1.1742,9.92e-05,9.92e-05,9.92e-05
98,2354.33,0.45693,0.44059,0.89555,0.92172,0.69231,0.76829,0.61952,0.90029,0.841,1.17425,7.94e-05,7.94e-05,7.94e-05
99,2378.13,0.51316,0.4397,0.89904,0.92049,0.69231,0.76675,0.62227,0.88768,0.82564,1.16155,5.96e-05,5.96e-05,5.96e-05
100,2400.36,0.45887,0.42421,0.89914,0.93068,0.68863,0.76408,0.62703,0.89351,0.82631,1.16653,3.98e-05,3.98e-05,3.98e-05
