epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.125,1.37136,1.71954,1.78215,0.61514,0.70588,0.75019,0.45266,1.28748,1.48263,2.00831,0.00034,0.00034,0.00034
2,205.001,1.08091,1.06937,1.52905,0.90145,0.64706,0.88618,0.56107,1.24667,1.25231,2.08555,0.00069307,0.00069307,0.00069307
3,297.174,0.98006,0.9815,1.45959,0.89262,0.64706,0.73215,0.54034,1.29676,1.21627,2.0026,0.00103901,0.00103901,0.00103901
4,403.007,0.90085,0.9165,1.39433,0.51655,0.64706,0.56961,0.35224,1.50009,1.65108,2.20099,0.00137783,0.00137783,0.00137783
5,480.82,0.92995,0.90249,1.39549,0.48227,0.58824,0.50655,0.29147,1.663,1.68772,2.44583,0.00170951,0.00170951,0.00170951
6,556.017,0.93895,0.90954,1.40624,0.60466,0.70588,0.6067,0.19023,2.18848,1.7223,3.57733,0.001901,0.001901,0.001901
7,631.011,0.90214,0.89361,1.36591,0.38403,0.47059,0.3973,0.21961,1.83795,2.78764,2.73167,0.0018812,0.0018812,0.0018812
8,705.937,0.86728,0.89795,1.36963,0.67922,0.74799,0.73999,0.39736,1.55137,1.66782,2.46218,0.0018614,0.0018614,0.0018614
9,784.988,0.96231,0.94091,1.44075,0.47331,0.58176,0.45213,0.27137,1.53704,1.63594,2.39668,0.0018416,0.0018416,0.0018416
10,859.518,0.91347,0.89732,1.39289,0.76823,0.64706,0.69193,0.43198,1.54457,1.27364,2.43185,0.0018218,0.0018218,0.0018218
11,938.13,0.87055,0.85591,1.35748,0.79764,0.70588,0.78966,0.53151,1.18329,1.53359,2.16321,0.001802,0.001802,0.001802
12,1012.35,0.8539,0.86485,1.36139,0.8839,0.58824,0.76262,0.48051,1.38027,1.36805,2.49067,0.0017822,0.0017822,0.0017822
13,1087.42,0.85331,0.7776,1.3245,0.684,0.764,0.74554,0.4953,1.26362,1.4115,2.22394,0.0017624,0.0017624,0.0017624
14,1168.02,0.85411,0.78902,1.31537,0.76972,0.64706,0.68638,0.50973,1.09463,1.42489,1.96014,0.0017426,0.0017426,0.0017426
15,1243.44,0.79897,0.74677,1.30111,0.79105,0.64706,0.86851,0.59159,1.18978,1.26455,1.9893,0.0017228,0.0017228,0.0017228
16,1324.71,0.83861,0.74963,1.34814,0.92625,0.94118,0.94355,0.61228,1.1498,0.89352,2.16576,0.001703,0.001703,0.001703
17,1399.53,0.78212,0.73129,1.28974,0.91833,0.76471,0.88931,0.56593,1.25613,1.11065,2.13085,0.0016832,0.0016832,0.0016832
18,1479.56,0.78421,0.70875,1.28762,1,0.86951,0.97529,0.60342,1.17792,0.86654,1.99557,0.0016634,0.0016634,0.0016634
19,1557.74,0.72388,0.72132,1.25033,0.9764,0.88235,0.96409,0.57615,1.40359,0.84028,2.43202,0.0016436,0.0016436,0.0016436
20,1640.09,0.7896,0.70024,1.29726,0.89395,0.99205,0.96503,0.51589,1.52485,1.02805,2.79373,0.0016238,0.0016238,0.0016238
21,1724.95,0.74433,0.68888,1.2528,0.75836,0.82353,0.82767,0.40941,1.64918,1.41981,2.81705,0.001604,0.001604,0.001604
22,1802.35,0.75737,0.64935,1.26388,0.7366,0.98745,0.89813,0.54732,1.2436,0.94971,2.36198,0.0015842,0.0015842,0.0015842
23,1885.73,0.72632,0.68442,1.22776,0.81771,0.76471,0.84011,0.57932,1.02636,1.12769,1.92693,0.0015644,0.0015644,0.0015644
24,1970.29,0.70821,0.61074,1.22963,0.93211,0.88235,0.91204,0.63214,1.17223,0.92033,1.99959,0.0015446,0.0015446,0.0015446
25,2051.96,0.72425,0.64386,1.2328,0.87231,0.80455,0.90251,0.57894,1.17703,0.92993,2.05856,0.0015248,0.0015248,0.0015248
26,2133.14,0.68858,0.58501,1.22101,0.66108,1,0.83229,0.51127,1.26811,1.15557,2.18589,0.001505,0.001505,0.001505
27,2216.95,0.73883,0.61836,1.27026,0.77163,0.88235,0.87019,0.61223,1.06481,0.86558,1.91371,0.0014852,0.0014852,0.0014852
28,2298.15,0.7025,0.60144,1.20546,0.81806,0.82353,0.84267,0.56756,1.08457,0.94738,2.07064,0.0014654,0.0014654,0.0014654
29,2376.53,0.68855,0.60765,1.22089,0.76066,0.74853,0.7558,0.47092,1.34426,1.02012,2.31208,0.0014456,0.0014456,0.0014456
30,2460.01,0.66434,0.58739,1.17962,0.80176,0.71418,0.81949,0.48942,1.59098,1.24453,2.55249,0.0014258,0.0014258,0.0014258
31,2535.78,0.71109,0.62434,1.23373,0.83732,0.94118,0.94096,0.66179,1.0541,0.84442,1.9255,0.001406,0.001406,0.001406
