epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8739,0.87276,2.39638,1.34699,0.00426,1,0.73944,0.46027,0.72287,2.93226,1.18697,0.00016,0.00016,0.00016
2,102.337,0.76816,1.48094,1.22608,0.00426,1,0.65287,0.45028,0.74472,2.81655,1.23931,0.000336634,0.000336634,0.000336634
3,166.437,0.80477,1.40816,1.26627,0.90355,0.30435,0.69168,0.43959,1.04593,2.68651,1.42039,0.000509704,0.000509704,0.000509704
4,209.998,0.82097,1.31235,1.27534,0.51617,0.34783,0.45385,0.30767,1.21057,2.57773,1.64312,0.00067921,0.00067921,0.00067921
5,247.605,0.80158,1.23931,1.24436,0.75913,0.34783,0.55051,0.3487,1.15504,2.63865,1.64393,0.000845152,0.000845152,0.000845152
6,285.768,0.85895,1.18714,1.31306,0.66031,0.26087,0.4655,0.28163,1.58924,2.72593,2.05778,0.00100753,0.00100753,0.00100753
7,336.163,0.8752,1.27899,1.29337,0.35078,0.3913,0.29073,0.12781,1.55782,2.75657,2.12162,0.00116634,0.00116634,0.00116634
8,384.277,0.85696,1.20345,1.29196,0.52075,0.13043,0.20488,0.06741,2.17856,3.22994,2.89583,0.00132159,0.00132159,0.00132159
9,429.312,0.92661,1.21074,1.34588,0.84641,0.24128,0.37489,0.15422,2.07377,3.24765,2.96353,0.00147328,0.00147328,0.00147328
10,475.52,0.93514,1.19999,1.35026,0.6975,0.34783,0.39784,0.17474,2.11561,3.0699,3.72318,0.0016214,0.0016214,0.0016214
11,532.683,0.94021,1.28267,1.37294,0.46593,0.6087,0.48214,0.18922,2.21065,3.3639,3.50946,0.00176596,0.00176596,0.00176596
12,583.742,0.86071,1.1679,1.28064,0.41223,0.69565,0.51274,0.27313,1.81812,3.33247,2.94359,0.0017822,0.0017822,0.0017822
13,617.719,0.81284,1.0471,1.2335,0.39799,0.56522,0.5201,0.24423,1.58742,6.73388,2.34305,0.0017624,0.0017624,0.0017624
14,668.584,0.92969,1.18091,1.33706,0.33785,0.43478,0.36552,0.21454,2.00944,4.25607,3.18212,0.0017426,0.0017426,0.0017426
15,711.977,0.90572,1.07904,1.28863,0.3309,0.43478,0.34407,0.192,1.7294,3.0272,2.33798,0.0017228,0.0017228,0.0017228
16,749.272,0.80944,1.01414,1.24179,0.85241,0.56522,0.64863,0.29719,1.73734,2.59526,2.63835,0.001703,0.001703,0.001703
17,784.632,0.87184,1.01614,1.24351,0.43854,0.6087,0.47396,0.31655,1.31196,3.16697,1.84226,0.0016832,0.0016832,0.0016832
18,821.023,0.79555,1.00281,1.24266,0.47107,0.52174,0.47331,0.30009,1.39471,2.66405,1.80385,0.0016634,0.0016634,0.0016634
19,859.318,0.8174,1.01104,1.23345,0.40513,0.6087,0.54617,0.3216,1.63936,3.72596,2.19351,0.0016436,0.0016436,0.0016436
20,902.554,0.83612,0.95782,1.25166,0.52759,0.6087,0.56624,0.34992,1.46091,4.532,1.96611,0.0016238,0.0016238,0.0016238
21,946.673,0.93789,1.06164,1.34126,0.62097,0.6087,0.59971,0.37279,1.41733,2.5963,1.87419,0.001604,0.001604,0.001604
22,983.53,0.8453,1.01071,1.25228,0.84177,0.46339,0.54633,0.29887,1.84337,2.21063,2.34211,0.0015842,0.0015842,0.0015842
23,1017.39,0.76575,0.92777,1.23307,0.59729,0.52174,0.54002,0.29155,1.69639,1.94982,2.28883,0.0015644,0.0015644,0.0015644
